Video	title	url	content_label_1	content_hierarchy_1	content_label_2	content_hierarchy_2	gt_content_label_1	gt_content_hierarchy_1	gt_content_label_2	gt_content_hierarchy_2	annotated_at	annotator_id
BuzzFeed_Celeb_zJd8Gtw5SpY	BTOB Finds Out Which Members They Really Are	https://www.youtube.com/watch?v=zJd8Gtw5SpY	music	arts/culture			celebrity-content	arts/culture	quizzes	others	2025-07-29T00:34:00.499136	kaatje
Khan_Academy_NiaCGBX9Zig	Perceive | Vocabulary | Khan Academy	https://www.youtube.com/watch?v=NiaCGBX9Zig	humanities	humanities/philosophy	languages	arts/culture	languages	arts/culture	languages	arts/culture	2025-07-29T00:34:52.621566	kaatje
Nerdwriter1_MvC6kwU3zgA	Why So Much Tax Money Is Wasted	https://www.youtube.com/watch?v=MvC6kwU3zgA	business-news	business/finance	finance	business/finance	economics	socialsciences	politics	socialsciences	2025-07-29T00:36:11.615864	kaatje
Nerdwriter1_LN-Fv4OlHj0	Vlog #53 - Did Shakespeare Invent Love?	https://www.youtube.com/watch?v=LN-Fv4OlHj0	languages	arts/culture	humanities	humanities/philosophy	sociology	socialsciences	arts	arts/culture	2025-07-29T00:37:04.549141	kaatje
WIRED_Zr7LA3cU5o0	Bridgerton Cast Answer The Web's Most Searched Questions | WIRED	https://www.youtube.com/watch?v=Zr7LA3cU5o0	celebrity-content	arts/culture	drama	tv_entertainment	celebrity-content	arts/culture	talkshows	tv_entertainment	2025-07-29T00:37:42.791365	kaatje
Variety_vsKxNdsVLjs	‘Joker’ Becomes First R-Rated Movie to Hit $1 Billion	https://www.youtube.com/watch?v=vsKxNdsVLjs	movies	movies	entertainment-news	news	entertainment-news	news	movies	movies	2025-07-29T00:38:31.191009	kaatje
Patrick_Willems_k-MTD_Z5qtQ	A MAJOR ANNOUNCEMENT	https://www.youtube.com/watch?v=k-MTD_Z5qtQ	movies	movies			movies	movies	vlog	personal_vlogs	2025-07-29T00:39:18.970975	kaatje
RottenTomatoes_7-r9v5xbHG8	Football: Glory on the Gridiron - Ultimate American Football Movie Mashup	https://www.youtube.com/watch?v=7-r9v5xbHG8	sports	sports			movies	movies	sports	sports	2025-07-29T00:41:34.207252	kaatje
Dope_EBoFL6lNwBo	MOVIE QUOTE CHALLENGE | Justin James Hughes	https://www.youtube.com/watch?v=EBoFL6lNwBo	movies	movies	internet-culture	others	quizzes	others	movies	movies	2025-07-29T00:49:20.292182	kaatje
Insane_Curiosity_DuWYInQEP64	What If We Colonize Mars?	https://www.youtube.com/watch?v=DuWYInQEP64	biotech	lifesciences	engineering	tech/engineering	astronomy	physicalsciences	engineering	tech/engineering	2025-07-29T00:50:54.555895	kaatje
Conan_OBrien_WnRlH2fl9jU	Penn & Teller Teach Conan Sleight Of Hand | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=WnRlH2fl9jU	celebrity-content	arts/culture	magic	others	magic	others	talkshows	tv_entertainment	2025-07-29T01:01:18.398252	kaatje
Sprouts_thFlKOqHJog	The Future of Work: An Economic Theory by David Autor	https://www.youtube.com/watch?v=thFlKOqHJog	sociology	socialsciences	humanities	humanities/philosophy	economics	socialsciences	selfhelp	lifestyle_wellbeing	2025-07-29T01:01:59.217127	kaatje
OxfordUnion_2ye5rAyZSUo	Bim Afolami MP | Meritocracy Debate | Opposition (6/8) | Oxford Union	https://www.youtube.com/watch?v=2ye5rAyZSUo	politics	socialsciences	economics	socialsciences	politics	socialsciences	humanities	humanities/philosophy	2025-07-29T01:02:44.415067	kaatje
Saturday_Night_Live_ZQYvmu-affA	Doctor's Visit - SNL	https://www.youtube.com/watch?v=ZQYvmu-affA	comedy	comedy	movies	movies	comedy	comedy	medicine	lifesciences	2025-07-29T01:04:57.810922	kaatje
Unbox_Therapy_QcKUNTb-kzw	The Black Friday Deals They Won't Show You...	https://www.youtube.com/watch?v=QcKUNTb-kzw	engineering	tech/engineering	technology	tech/engineering	product-reviews	reviews	product-reviews	reviews	2025-07-29T01:05:47.082257	kaatje
RottenTomatoes_5EPWNVcXbHU	Marcel the Shell with Shoes On Trailer #1 (2022) | Movieclips Trailers	https://www.youtube.com/watch?v=5EPWNVcXbHU	movies	movies	drama	tv_entertainment	movies	movies	movies	movies	2025-07-29T01:06:17.989596	kaatje
AskTheLawyers_cExNvOmWu2c	What to Do if You’re Hit By a Car as a Pedestrian	https://www.youtube.com/watch?v=cExNvOmWu2c	selfhelp	lifestyle_wellbeing			law	socialsciences	architecture	architecture	2025-07-29T01:06:55.892288	kaatje
Hacksmith_Industries_wNMKpvDccZo	Make it Real: Game of Thrones Battle Shields!	https://www.youtube.com/watch?v=wNMKpvDccZo	drama	tv_entertainment	vlog	personal_vlogs	competitions	others	diy	tutorials	2025-07-29T01:07:42.859611	kaatje
Seth_Meyers_TQdlbT-wL-0	Annaleigh Ashford Shares What Working with Stephen Sondheim Was Like	https://www.youtube.com/watch?v=TQdlbT-wL-0	celebrity-content	arts/culture	drama	tv_entertainment	talkshows	tv_entertainment	arts	arts/culture	2025-07-29T01:08:31.259724	kaatje
French_Cooking_Academy_SKihmJJeLy8	Pork cutlets with cream and mushroom sauce | French Bistro Recipes	https://www.youtube.com/watch?v=SKihmJJeLy8	culinary	culinary	food	lifestyle_wellbeing	culinary	culinary	food	lifestyle_wellbeing	2025-07-29T01:09:12.030011	kaatje
PBS_Origins_Zll40_3i0TI	How Columbus Invented Cannibals	https://www.youtube.com/watch?v=Zll40_3i0TI	history	arts/culture	humanities	humanities/philosophy	history	arts/culture	history	arts/culture	2025-07-29T01:10:12.008682	kaatje
Fireship_JSURzPQnkl0	3 More Life-Changing CSS Tips	https://www.youtube.com/watch?v=JSURzPQnkl0	computersci	tech/engineering	datasci	tech/engineering	software-tutorials	tutorials	internet-culture	others	2025-07-29T01:11:49.273036	kaatje
Khan_Academy_bh1UrCGWz1k	Infinite series as limit of partial sums | Series | AP Calculus BC | Khan Academy	https://www.youtube.com/watch?v=bh1UrCGWz1k	math	math/logic			math	math/logic	algebra	math/logic	2025-07-29T01:12:35.030861	kaatje
AsapSCIENCE_e8kHyee1z7w	Are You More Forgetful Than A Fish?	https://www.youtube.com/watch?v=e8kHyee1z7w	neurosci	lifesciences	biology	lifesciences	biology	lifesciences	biology	lifesciences	2025-07-29T01:13:22.849340	kaatje
Conan_OBrien_gGonAh0SgaY	Conan Used To Make Up Characters On The Basketball Court | Conan O'Brien Needs A Fan	https://www.youtube.com/watch?v=gGonAh0SgaY	celebrity-content	arts/culture	sports	sports	fitness	lifestyle_wellbeing	sports	sports	2025-07-29T01:13:51.089469	kaatje
RottenTomatoes_U6uNt6h3_bM	Rambo (7/12) Movie CLIP - Live for Nothing or Die for Something (2008) HD	https://www.youtube.com/watch?v=U6uNt6h3_bM	movies	movies	drama	tv_entertainment	movies	movies	selfhelp	lifestyle_wellbeing	2025-07-29T01:14:59.908318	kaatje
Seth_Meyers_nCypQobtmpw	Anthony Bourdain Was Labeled a Mossad Agent by Romanian Newspapers	https://www.youtube.com/watch?v=nCypQobtmpw	food	lifestyle_wellbeing	celebrity-content	arts/culture	conspiracy	others	geopolitical-news	news	2025-07-29T01:17:21.394977	kaatje
TED_1Bj-zXkVi68	Yo! Have You Ever Seen a Yo-Yo Dance Like This? | Shu Takada | TED	https://www.youtube.com/watch?v=1Bj-zXkVi68	music	arts/culture	magic	others	arts	arts/culture	magic	others	2025-07-29T01:18:39.448355	kaatje
Facts_ndIHoyzRpjc	Irish People Try Pop Rocks	https://www.youtube.com/watch?v=ndIHoyzRpjc	sociology	socialsciences	comedy	comedy	culinary	culinary	food	lifestyle_wellbeing	2025-07-29T01:19:08.570724	kaatje
eHowEducation_AMBzryMwiQ0	How to Add Fractions With Variables & Whole Numbers	https://www.youtube.com/watch?v=AMBzryMwiQ0	algebra	math/logic			algebra	math/logic	teaching	pedagogy	2025-07-29T01:19:43.912017	kaatje
Conan_OBrien_r8JDiKMNrQU	Late Night Scandals (Feat. Ellie Kemper) | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=r8JDiKMNrQU	celebrity-content	arts/culture	comedy	comedy	talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T01:20:13.388172	kaatje
Khan_Academy_Ws63I3F7Moc	Origin of Markov chains | Journey into information theory | Computer Science | Khan Academy	https://www.youtube.com/watch?v=Ws63I3F7Moc	physics	physicalsciences			datasci	tech/engineering	computersci	tech/engineering	2025-07-29T01:21:06.967993	kaatje
CNN_US_News_p4SUFm9b4xc	'Ignorant and rude': Trump offends this voter, but he's voting for him anyway. Hear why	https://www.youtube.com/watch?v=p4SUFm9b4xc	domestic-news	news			geopolitical-news	news	politics	socialsciences	2025-07-29T01:21:51.033582	kaatje
Practical_Engineering_Srr0fTnaHdQ	Turning Two Segmented Bowls on the Lathe - Maple with Mahogany Accents	https://www.youtube.com/watch?v=Srr0fTnaHdQ	vlog	personal_vlogs	math	math/logic	home	lifestyle_wellbeing	architecture	architecture	2025-07-29T01:24:27.312326	kaatje
National_Geographic_K6TnWW1s4hE	Baby Bison Takes on Wolf and Wins | America's National Parks	https://www.youtube.com/watch?v=K6TnWW1s4hE	environment	physicalsciences	biology	lifesciences	biology	lifesciences	biology	lifesciences	2025-07-29T01:25:05.268105	kaatje
RottenTomatoes_ZzOzVT2o2BU	New York Car Chase - Shaft (5/9) Movie CLIP (2000) HD	https://www.youtube.com/watch?v=ZzOzVT2o2BU	drama	tv_entertainment			movies	movies	architecture	architecture	2025-07-29T01:25:31.687848	kaatje
Steve_Kaufmann_IV67smoXIMM	Tips for Learning Spanish Verbs	https://www.youtube.com/watch?v=IV67smoXIMM	languages	arts/culture	diy	tutorials	software-tutorials	tutorials	languages	arts/culture	2025-07-29T01:26:11.068357	kaatje
WIRED_Y18NYGlIukM	Climb Aboard a Boeing 747 That NASA Turned Into the World's Biggest Flying Telescope | WIRED	https://www.youtube.com/watch?v=Y18NYGlIukM	domestic-news	news			astronomy	physicalsciences	engineering	tech/engineering	2025-07-29T01:26:56.270347	kaatje
Khan_Academy_VmFX6AIzllE	American attitudes about government and politics | US government and civics | Khan Academy	https://www.youtube.com/watch?v=VmFX6AIzllE	law	socialsciences	politics	socialsciences	politics	socialsciences	geopolitical-news	news	2025-07-29T01:27:34.507709	kaatje
The_School_of_Life_2Xi2ty-uHe0	7 Secrets of Therapy	https://www.youtube.com/watch?v=2Xi2ty-uHe0	public_health	lifesciences			mental-health	lifestyle_wellbeing	medicine	lifesciences	2025-07-29T01:28:17.373099	kaatje
RottenTomatoes_8TJk9N4RrNM	The Blair Witch Project (6/8) Movie CLIP - We're Still Alive 'Cause We're Smoking (1999) HD	https://www.youtube.com/watch?v=8TJk9N4RrNM	movies	movies	drama	tv_entertainment	movies	movies	architecture	architecture	2025-07-29T01:28:39.752160	kaatje
RottenTomatoes_gcPY3RIvtCw	The Best Little Whorehouse in Texas (1982) - Hard Candy Christmas Scene (9/10) | Movieclips	https://www.youtube.com/watch?v=gcPY3RIvtCw	movies	movies	drama	tv_entertainment	drama	tv_entertainment	movies	movies	2025-07-29T01:29:15.086990	kaatje
Real_Time_Bill_Maher_Jp6977O-wpQ	Overtime: Heather McGhee, Sarah Haider, Andrew Sullivan, Timothy Naftali | Real Time (HBO)	https://www.youtube.com/watch?v=Jp6977O-wpQ	celebrity-content	arts/culture	politics	socialsciences	politics	socialsciences	geopolitical-news	news	2025-07-29T01:29:52.887571	kaatje
RottenTomatoes_Rj9fUYRr81A	Spy Kids 3-D: Game Over (9/11) Movie CLIP - The Deceiver (2003) HD	https://www.youtube.com/watch?v=Rj9fUYRr81A	movies	movies			movies	movies	drama	tv_entertainment	2025-07-29T01:30:15.189295	kaatje
AsapSCIENCE_-lzQxbcrscc	The Biggest Lie About AI	https://www.youtube.com/watch?v=-lzQxbcrscc	biotech	lifesciences			technology	tech/engineering	computersci	tech/engineering	2025-07-29T01:31:13.028286	kaatje
Khan_Academy_3_DxJwDTbyQ	Recognizing direct and inverse variation | Rational expressions | Algebra II | Khan Academy	https://www.youtube.com/watch?v=3_DxJwDTbyQ	algebra	math/logic			algebra	math/logic	architecture	architecture	2025-07-29T01:33:09.368526	kaatje
Peekaboo_Kidz_tRJ3quIAuIY	What If You Fell In A Quicksand? | How to Survive QUICKSAND | Dr Binocs Show | Peekaboo Kidz	https://www.youtube.com/watch?v=tRJ3quIAuIY	physics	physicalsciences	environment	physicalsciences	environment	physicalsciences	biology	lifesciences	2025-07-29T01:33:53.349710	kaatje
RottenTomatoes_WsHqQAfZvc4	Kung Fu Panda 2 (2011) - Rickshaw Chase Scene (4/10) | Movieclips	https://www.youtube.com/watch?v=WsHqQAfZvc4	movies	movies			movies	movies	architecture	architecture	2025-07-29T01:34:43.202954	kaatje
eHowEducation_6FJW7FINRAA	What Are Five Branches of Chemistry? : Chemistry Lessons	https://www.youtube.com/watch?v=6FJW7FINRAA	chemistry	physicalsciences			chemistry	physicalsciences	chemistry	physicalsciences	2025-07-29T01:36:13.263220	kaatje
Gordon_Ramsay_WysiAYJHRCE	Gordon Ramsay FURIOUS At Lying Chef | Hotel Hell	https://www.youtube.com/watch?v=WysiAYJHRCE	celebrity-content	arts/culture			business	business/finance	culinary	culinary	2025-07-29T01:36:39.918417	kaatje
Facts_ZKtKJPymTpI	Irish People Watch Love At First Kiss For The First Time	https://www.youtube.com/watch?v=ZKtKJPymTpI	sociology	socialsciences			dating	personal_vlogs	vlog	personal_vlogs	2025-07-29T01:37:12.291885	kaatje
RottenTomatoes_ancPibgH6Bw	The Dark Knight Rises (2012) - Broken Bat Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=ancPibgH6Bw	drama	tv_entertainment			movies	movies	arts	arts/culture	2025-07-29T01:37:44.458988	kaatje
Simplilearn_XLP4YTpUpBI	The Rise Of Technology-Augmented Reality(AR), Virtual Reality(VR) And Mixed Reality(MR) |Simplilearn	https://www.youtube.com/watch?v=XLP4YTpUpBI	engineering	tech/engineering	technology	tech/engineering	technology	tech/engineering	computersci	tech/engineering	2025-07-29T01:38:21.809487	kaatje
Practical_Wisdom_Interesting_Ideas_lt9rHqQPmWc	Signs You’ve Jumped From Middle Class to Wealthy	https://www.youtube.com/watch?v=lt9rHqQPmWc	politics	socialsciences			finance	business/finance	finance	business/finance	2025-07-29T01:38:50.808246	kaatje
Aunty_Donna_7QrLEOHhrpU	Dishonored 2: Broden Review - Insert Coin Ep02	https://www.youtube.com/watch?v=7QrLEOHhrpU	product-reviews	reviews	movies	movies	comedy	comedy	gaming	gaming	2025-07-29T01:39:21.927562	kaatje
The_Late_Show_Stephen_Colbert_EJBAT6-sUtU	Thomas Middleditch Is No N00b To Gaming	https://www.youtube.com/watch?v=EJBAT6-sUtU	gaming	gaming			talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-29T01:39:44.071035	kaatje
Khan_Academy_5Ixp_0r5YWk	Nernst equation | Physical Processes | MCAT | Khan Academy	https://www.youtube.com/watch?v=5Ixp_0r5YWk	physics	physicalsciences			chemistry	physicalsciences	chemistry	physicalsciences	2025-07-29T01:40:05.188551	kaatje
Gordon_Ramsay_-bX5_SujNfk	Gordon is Completely Appalled by Hoarder Hotel | Hotel Hell	https://www.youtube.com/watch?v=-bX5_SujNfk	internet-culture	others	celebrity-content	arts/culture	reality-tv	tv_entertainment	vlog	personal_vlogs	2025-07-29T01:40:49.548007	kaatje
Deep_Dive_Ali_Abdaal_qBnfsYRA9cI	Advice Every 20 Year Old Needs To Hear	https://www.youtube.com/watch?v=qBnfsYRA9cI	selfhelp	lifestyle_wellbeing			selfhelp	lifestyle_wellbeing	selfhelp	lifestyle_wellbeing	2025-07-29T01:41:59.428607	kaatje
TED_Ed_e0uyu9vdd2g	The last chief of the Comanches and the fall of an empire - Dustin Tahmahkera	https://www.youtube.com/watch?v=e0uyu9vdd2g	sociology	socialsciences			history	arts/culture	history	arts/culture	2025-07-29T01:42:35.192240	kaatje
RottenTomatoes_scDWdIV7Fes	Madonna: Truth or Dare (7/8) Movie CLIP - Vogue (1991) HD	https://www.youtube.com/watch?v=scDWdIV7Fes	celebrity-content	arts/culture			music	arts/culture	movies	movies	2025-07-29T01:43:09.750908	kaatje
Khan_Academy_xKNX8BUWR0g	Surjective (onto) and injective (one-to-one) functions | Linear Algebra | Khan Academy	https://www.youtube.com/watch?v=xKNX8BUWR0g	algebra	math/logic			datasci	tech/engineering	algebra	math/logic	2025-07-29T01:43:38.432205	kaatje
LEARN_xD36blv9zbQ	LEARN - How to Interpret a Picture - Part 2 - Like a Historian	https://www.youtube.com/watch?v=xD36blv9zbQ	history	arts/culture	humanities	humanities/philosophy	history	arts/culture	teaching	pedagogy	2025-07-29T01:44:28.828864	kaatje
Jimmy_Fallon_DBV_bQiSpck	The Voidz: 7 Horses | The Tonight Show Starring Jimmy Fallon	https://www.youtube.com/watch?v=DBV_bQiSpck	celebrity-content	arts/culture	music	arts/culture	arts	arts/culture	music	arts/culture	2025-07-29T01:45:23.510033	kaatje
RottenTomatoes_rA69NDoXRhI	Dying of the Light (2014) - What's Left of My Time Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=rA69NDoXRhI	arts	arts/culture	drama	tv_entertainment	movies	movies	medicine	lifesciences	2025-07-29T01:46:12.590928	kaatje
TED_Ed_zLAYGZeVTPQ	The myth of Hades and Persephone - Iseult Gillespie	https://www.youtube.com/watch?v=zLAYGZeVTPQ	humanities	humanities/philosophy	history	arts/culture	arts	arts/culture	history	arts/culture	2025-07-29T01:46:38.368822	kaatje
ElectroBOOM_SVepW3f_V-M	Making a High Voltage Fuse	https://www.youtube.com/watch?v=SVepW3f_V-M	engineering	tech/engineering	physics	physicalsciences	engineering	tech/engineering	physics	physicalsciences	2025-07-29T01:47:12.396579	kaatje
Peekaboo_Kidz_Y_RMjmMtjOY	The Mummification Process | How Mummies Were Made? | How Egyptians Mummified Bodies? | Dr. Binocs	https://www.youtube.com/watch?v=Y_RMjmMtjOY	comedy	comedy	sociology	socialsciences	history	arts/culture	history	arts/culture	2025-07-29T01:49:01.029104	kaatje
SecondThought_5gxsk_zy9pk	First Contact Part 1: How Prepared Are We?	https://www.youtube.com/watch?v=5gxsk_zy9pk	conspiracy	others	sociology	socialsciences	astronomy	physicalsciences	history	arts/culture	2025-07-29T01:50:28.773412	kaatje
Psych_Hub_Wn4AVjMMYX4	LGBTQ Youth	https://www.youtube.com/watch?v=Wn4AVjMMYX4	politics	socialsciences	sociology	socialsciences	mental-health	lifestyle_wellbeing	medicine	lifesciences	2025-07-29T01:51:14.298486	kaatje
Sprouts_rZfAsbhfL_Y	Bruner’s 3 Steps of Learning in a Spiral Curriculum	https://www.youtube.com/watch?v=rZfAsbhfL_Y	sociology	socialsciences	psychology	socialsciences	teaching	pedagogy	psychology	socialsciences	2025-07-29T01:52:04.795060	kaatje
Learn_Bright_vG6d_ytRdiI	ASL Angles for Kids	https://www.youtube.com/watch?v=vG6d_ytRdiI	languages	arts/culture	algebra	math/logic	math	math/logic	teaching	pedagogy	2025-07-29T01:53:25.768036	kaatje
SmarterEveryDay_NwR6xKkHOyM	Cuteness Overload | Project for Awesome 2014	https://www.youtube.com/watch?v=NwR6xKkHOyM	public_health	lifesciences			selfhelp	lifestyle_wellbeing	vlog	personal_vlogs	2025-07-29T01:54:40.839907	kaatje
BuzzFeed_Celeb_WbbTIO-trSk	"The Cast Of ""Lucifer"" Finds Out Which Characters They Really Are"	https://www.youtube.com/watch?v=WbbTIO-trSk	drama	tv_entertainment	celebrity-content	arts/culture	celebrity-content	arts/culture	quizzes	others	2025-07-29T01:55:00.155936	kaatje
Fireship_QQu1_bf1Bdo	YouTube's high-stakes war on Ad Blockers	https://www.youtube.com/watch?v=QQu1_bf1Bdo	internet-culture	others	domestic-news	news	internet-culture	others	technology	tech/engineering	2025-07-29T01:55:44.096503	kaatje
Khan_Academy_iDBJK0y8vb0	Delacroix, The Death of Sardanapalus	https://www.youtube.com/watch?v=iDBJK0y8vb0	history	arts/culture			arts	arts/culture	arts	arts/culture	2025-07-29T01:56:08.283235	kaatje
MrBeast_Gaming_FKuLIrwIjt8	Extreme Squid Game Challenge!	https://www.youtube.com/watch?v=FKuLIrwIjt8	reality-tv	tv_entertainment	internet-culture	others	competitions	others	gaming	gaming	2025-07-29T01:56:59.522913	kaatje
Programming_with_Mosh_QygRnETpBIg	Access Modifiers in TypeScript	https://www.youtube.com/watch?v=QygRnETpBIg	software-tutorials	tutorials	computersci	tech/engineering	software-tutorials	tutorials	computersci	tech/engineering	2025-07-29T01:57:42.417229	kaatje
RottenTomatoes_oLJ7246t3-c	Frank & Jesse (1995) - Zee James Scene (7/11) | Movieclips	https://www.youtube.com/watch?v=oLJ7246t3-c	movies	movies			movies	movies	architecture	architecture	2025-07-29T01:58:04.556238	kaatje
Vox_aKyvGHycngM	Why cities should plant more trees	https://www.youtube.com/watch?v=aKyvGHycngM	public_health	lifesciences	environment	physicalsciences	public_health	lifesciences	engineering	tech/engineering	2025-07-29T01:58:32.760938	kaatje
Khan_Academy_Za7G_eWKiF4	Independent or dependent probability event? | Precalculus | Khan Academy	https://www.youtube.com/watch?v=Za7G_eWKiF4	math	math/logic			datasci	tech/engineering	datasci	tech/engineering	2025-07-29T01:59:01.095428	kaatje
Extra_History_9KrBm1qpCnE	Warlocks and Warriors - Russian Myth - Extra Mythology	https://www.youtube.com/watch?v=9KrBm1qpCnE	humanities	humanities/philosophy			drama	tv_entertainment	history	arts/culture	2025-07-29T01:59:42.015836	kaatje
IBM_Technology_yKqUdyzsBXw	AI in Customer Experience, Customer Service & Customer Support	https://www.youtube.com/watch?v=yKqUdyzsBXw	technology	tech/engineering	computersci	tech/engineering	business	business/finance	business	business/finance	2025-07-29T02:00:36.755302	kaatje
